GEO_ID,tract_geoid,NAME,population,median_household_income,poverty_universe_total,below_poverty_count,poverty_rate,complaint_count_2015,complaint_count_2025,complaint_change_2025_minus_2015
1400000US25025140102,25025140102,Census Tract 1401.02; Suffolk County; Massachusetts,5359,128673.0,5359,74,1.3808546370591528,1131,552,-579
1400000US25025140105,25025140105,Census Tract 1401.05; Suffolk County; Massachusetts,3641,85000.0,3641,537,14.74869541334798,675,354,-321
1400000US25025140106,25025140106,Census Tract 1401.06; Suffolk County; Massachusetts,2232,59861.0,2232,313,14.023297491039427,142,81,-61
1400000US25025140107,25025140107,Census Tract 1401.07; Suffolk County; Massachusetts,3290,106111.0,3290,509,15.471124620060792,498,267,-231
1400000US25025140201,25025140201,Census Tract 1402.01; Suffolk County; Massachusetts,2636,110655.0,2636,153,5.804248861911987,499,202,-297
1400000US25025140202,25025140202,Census Tract 1402.02; Suffolk County; Massachusetts,5952,111910.0,5843,142,2.4302584288892692,913,639,-274
1400000US25025140300,25025140300,Census Tract 1403; Suffolk County; Massachusetts,7215,93225.0,7179,611,8.510934670566932,1351,1004,-347
1400000US25025140400,25025140400,Census Tract 1404; Suffolk County; Massachusetts,8724,94794.0,8668,1101,12.70189201661283,1274,1000,-274
1400000US25025160102,25025160102,Census Tract 1601.02; Suffolk County; Massachusetts,3659,67500.0,3595,953,26.50904033379694,0,0,0
1400000US25025160103,25025160103,Census Tract 1601.03; Suffolk County; Massachusetts,4730,80573.0,4537,1078,23.760193960767023,0,0,0
1400000US25025160200,25025160200,Census Tract 1602; Suffolk County; Massachusetts,4444,73889.0,4262,1217,28.554669169404036,0,0,0
1400000US25025160300,25025160300,Census Tract 1603; Suffolk County; Massachusetts,2185,75417.0,2112,290,13.731060606060606,0,0,0
1400000US25025160400,25025160400,Census Tract 1604; Suffolk County; Massachusetts,3356,74329.0,3356,748,22.288438617401667,0,0,0
1400000US25025160501,25025160501,Census Tract 1605.01; Suffolk County; Massachusetts,5965,59625.0,5885,943,16.02378929481733,0,0,0
1400000US25025160502,25025160502,Census Tract 1605.02; Suffolk County; Massachusetts,5070,55568.0,4977,1438,28.892907373920035,0,0,0
1400000US25025160601,25025160601,Census Tract 1606.01; Suffolk County; Massachusetts,4914,108605.0,4792,443,9.24457429048414,0,0,0
1400000US25025160602,25025160602,Census Tract 1606.02; Suffolk County; Massachusetts,5137,75985.0,5093,846,16.61103475358335,0,0,0
1400000US25025170101,25025170101,Census Tract 1701.01; Suffolk County; Massachusetts,3868,83672.0,3727,476,12.771666219479474,0,0,0
1400000US25025170102,25025170102,Census Tract 1701.02; Suffolk County; Massachusetts,4839,95023.0,4729,198,4.186931698033411,0,0,0
1400000US25025170200,25025170200,Census Tract 1702; Suffolk County; Massachusetts,5163,50513.0,5058,1072,21.194147884539344,0,0,0
1400000US25025170301,25025170301,Census Tract 1703.01; Suffolk County; Massachusetts,5810,106471.0,5810,561,9.655765920826164,0,0,0
1400000US25025170302,25025170302,Census Tract 1703.02; Suffolk County; Massachusetts,4069,106184.0,3914,804,20.54164537557486,0,0,0
1400000US25025170400,25025170400,Census Tract 1704; Suffolk County; Massachusetts,5172,75938.0,5172,616,11.910286156225832,0,0,0
1400000US25025170502,25025170502,Census Tract 1705.02; Suffolk County; Massachusetts,3767,67375.0,3707,510,13.757755597518209,0,0,0
1400000US25025170503,25025170503,Census Tract 1705.03; Suffolk County; Massachusetts,1411,83654.0,1395,325,23.297491039426525,0,0,0
1400000US25025170504,25025170504,Census Tract 1705.04; Suffolk County; Massachusetts,3382,133403.0,3382,116,3.4299231224127738,0,0,0
1400000US25025170601,25025170601,Census Tract 1706.01; Suffolk County; Massachusetts,6251,101932.0,6251,123,1.9676851703727405,0,0,0
1400000US25025170701,25025170701,Census Tract 1707.01; Suffolk County; Massachusetts,2513,64632.0,2513,172,6.844409072821329,0,0,0
1400000US25025170702,25025170702,Census Tract 1707.02; Suffolk County; Massachusetts,7612,59722.0,7612,1548,20.336311087756172,0,0,0
1400000US25025170800,25025170800,Census Tract 1708; Suffolk County; Massachusetts,6076,69750.0,6009,839,13.962389748710269,0,0,0
1400000US25025180101,25025180101,Census Tract 1801.01; Suffolk County; Massachusetts,5301,95306.0,5301,338,6.376155442369365,0,0,0
1400000US25025180200,25025180200,Census Tract 1802; Suffolk County; Massachusetts,4557,104427.0,4557,446,9.7871406627167,0,0,0
1400000US25025180301,25025180301,Census Tract 1803.01; Suffolk County; Massachusetts,3080,139554.0,3080,280,9.090909090909092,0,0,0
1400000US25025180400,25025180400,Census Tract 1804; Suffolk County; Massachusetts,1910,113261.0,1910,14,0.7329842931937173,0,0,0
1400000US25025180500,25025180500,Census Tract 1805; Suffolk County; Massachusetts,3959,113214.0,3911,245,6.2643825108667865,0,0,0
